番号,問題,解答
358,名に(し)負ふ,①名前を持つ ②有名である
359,何(に)か(は)せむ,いったい何になろうか・何にもならない
360,音を泣く,声を上げて泣く
361,～のがり,～のもとへ
362,～ばこそあらめ,～ならばともかく(実際はそうではない)
363,人となる,①一人前になる・成人する ②正気に戻る
364,ひとやりならず,他人からさせられるのではない・自分のせいである
365,またの,次の
366,～ままに,①～(する)とすぐに・～(する)やいなや ②～ので ③～につれて・～に従って
367,昔の人,①亡くなった人 ②昔の知人・昔なじみであった人
368,目もあやなり,まぶしいほど立派だ
369,～(や)おそきと,～(する)とすぐに
370,やらん,～であろうか
371,やるかたなし,(心を)晴らしようがない・どうしようもない
372,世にあり,①この世に生きている ②世間に認められている・世間で評判が高い
373,例ならず,①いつもではない・普段と違う ②体調がいつもどおりではない・病気である・懐妊している
374,例の,①いつものように ②いつもの
