chapter_id,question_text,choice_a,choice_b,choice_c,choice_d,correct_answer,explanation
3,硫化鉄(II)（FeS）の沈殿の色は？,白,黄,黒,赤,C,硫化鉄(II)は黒色の沈殿です[cite: 313]。
3,塩化銀（AgCl）の沈殿の色は？,白色,淡黄色,黄色,黒色,A,塩化銀は白色沈殿です[cite: 287-294]。
3,臭化銀（AgBr）の沈殿の色は？,白色,淡黄色,黄色,黒色,B,臭化銀は淡黄色の沈殿です[cite: 293-329]。
3,ヨウ化銀（AgI）の沈殿の色は？,白色,淡黄色,黄色,黒色,C,ヨウ化銀は黄色の沈殿です[cite: 294-330]。
3,"ハロゲン化銀の中で、アンモニア水に「溶けない」ものは？",AgF,AgCl,AgBr,AgI,D,"AgClはよく溶け、AgBrは少し溶けますが、AgIはアンモニア水にはほとんど溶けません[cite: 330, 340]。"
3,鉄(III)イオン（Fe³⁺）にヘキサシアニド鉄(II)酸カリウム（K₄[Fe(CN)₆]）を加えたときの色は？,濃青色（紺青）,青白色,血赤色,褐色,A,"Fe³⁺と[Fe(CN)₆]⁴⁻の反応では、濃青色（プルシアンブルー）の沈殿が生じます[cite: 395-396]。"
3,鉄(III)イオン（Fe³⁺）にチオシアン酸カリウム（KSCN）を加えたときの色は？,濃青色,血赤色,淡緑色,黄色,B,"Fe³⁺とSCN⁻の反応では、溶液が血赤色になります[cite: 405-406]。"
4,銅(II)イオン（Cu²⁺）の水溶液の色は？,無色,淡緑色,青色,黄色,C,銅(II)イオンの水溶液は一般に青色を示します[cite: 437-438]。
4,鉄(II)イオン（Fe²⁺）の水溶液の色は？,無色,淡緑色,黄褐色,赤紫色,B,鉄(II)イオンは淡緑色を示します[cite: 436]。
4,鉄(III)イオン（Fe³⁺）の水溶液の色は？,無色,淡緑色,黄褐色,赤紫色,C,鉄(III)イオンは黄褐色を示します[cite: 436]。
4,過マンガン酸イオン（MnO₄⁻）の水溶液の色は？,赤紫色,橙赤色,黄色,緑色,A,過マンガン酸カリウム水溶液などは特徴的な赤紫色を示します[cite: 450]。
4,クロム酸イオン（CrO₄²⁻）の水溶液の色は？,黄色,赤橙色,緑色,青色,A,"クロム酸イオンは黄色、二クロム酸イオン（Cr₂O₇²⁻）は赤橙色を示します[cite: 448-449]。"
4,酸化銅(I)（Cu₂O）の沈殿の色は？,黒色,赤色,青色,白色,B,フェーリング反応などで生じる酸化銅(I)は赤色沈殿です[cite: 504]。
4,酸化銅(II)（CuO）の沈殿の色は？,黒色,赤色,青色,白色,A,酸化銅(II)は黒色の沈殿（固体）です[cite: 500]。
4,ナトリウム（Na）の炎色反応の色は？,赤,黄,紫,青緑,B,ナトリウムは黄色を示します[cite: 560]。
4,カリウム（K）の炎色反応の色は？,赤,黄,赤紫,青緑,C,カリウムは赤紫色（淡紫色）を示します[cite: 561]。
4,銅（Cu）の炎色反応の色は？,赤,黄,橙,青緑,D,銅は青緑色を示します[cite: 565]。
5,錯イオン[Ag(NH₃)₂]⁺の形状は？,直線形,正方形,正四面体形,正八面体形,A,"ジアンミン銀(I)イオンは直線形の構造をとります[cite: 686, 704-705]。"
5,錯イオン[Zn(NH₃)₄]²⁺の形状は？,直線形,正方形,正四面体形,正八面体形,C,"テトラアンミン亜鉛(II)イオンは正四面体形の構造をとります[cite: 649, 691]。"
5,錯イオン[Cu(NH₃)₄]²⁺の形状は？,直線形,正方形,正四面体形,正八面体形,B,"テトラアンミン銅(II)イオンは正方形の構造をとります[cite: 624, 692]。"
5,錯イオン[Fe(CN)₆]³⁻の形状は？,直線形,正方形,正四面体形,正八面体形,D,"ヘキサシアニド鉄(III)酸イオンは正八面体形の構造をとります[cite: 632, 694]。"
5,銀イオン（Ag⁺）の配位数は一般にいくつか？,2,4,6,8,A,"銀イオンは配位数2をとりやすいです（例：[Ag(NH₃)₂]⁺）[cite: 686, 707]。"
5,銅(II)イオン（Cu²⁺）や亜鉛イオン（Zn²⁺）の配位数は一般にいくつか？,2,4,6,8,B,"これらは配位数4をとりやすいです[cite: 707]。"
5,"鉄イオン（Fe²⁺, Fe³⁺）の配位数は一般にいくつか？",2,4,6,8,C,鉄イオンは配位数6をとりやすいです[cite: 707]。
5,配位子「H₂O」の名称は？,アクア,アンミン,ヒドロキソ,シアニド,A,水分子が配位した場合の名称は「アクア」です[cite: 709]。
5,配位子「NH₃」の名称は？,アクア,アンミン,ヒドロキソ,シアニド,B,アンモニア分子が配位した場合の名称は「アンミン」です[cite: 709]。
5,テトラアンミン銅(II)イオン（[Cu(NH₃)₄]²⁺）の水溶液の色は？,淡青色,深青色,無色,黄色,B,"銅のアンモニア錯体は深青色を示します[cite: 452, 2389]。"
6,硫化鉄(II)に希硫酸を加えたときに発生する気体は？,二酸化硫黄（SO₂）,硫化水素（H₂S）,水素（H₂）,三酸化硫黄（SO₃）,B,弱酸の塩（FeS）に強酸（H₂SO₄）を加えると、弱酸の遊離により硫化水素が発生します[cite: 781]。
6,炭酸カルシウム（石灰石）に希塩酸を加えたときに発生する気体は？,一酸化炭素,二酸化炭素,水素,酸素,B,弱酸の塩（CaCO₃）に強酸（HCl）を加えると、二酸化炭素が発生します[cite: 783]。
6,亜硫酸ナトリウム（Na₂SO₃）に希硫酸を加えたときに発生する気体は？,二酸化硫黄,硫化水素,酸素,水素,A,弱酸の塩（Na₂SO₃）に強酸を加えると、二酸化硫黄が発生します[cite: 784]。
6,塩化ナトリウムに濃硫酸を加えて加熱したときに発生する気体は？,塩素,塩化水素,二酸化硫黄,水素,B,揮発性の酸の塩（NaCl）に不揮発性の酸（濃硫酸）を加えて加熱すると、揮発性の酸（HCl）が遊離します[cite: 756-758]。
6,ホタル石（CaF₂）に濃硫酸を加えて加熱したときに発生する気体は？,フッ素,フッ化水素,塩素,塩化水素,B,揮発性の酸の塩（CaF₂）からフッ化水素（HF）が遊離します[cite: 761-763]。
6,塩化アンモニウムと水酸化カルシウムを混合して加熱したときに発生する気体は？,窒素,アンモニア,一酸化窒素,水素,B,弱塩基の塩（NH₄Cl）に強塩基（Ca(OH)₂）を加えると、アンモニアが発生します[cite: 794-796]。
6,ギ酸（HCOOH）に濃硫酸を加えて加熱したときに発生する気体は？,二酸化炭素,一酸化炭素,水素,メタン,B,濃硫酸の脱水作用により、ギ酸から水が引き抜かれて一酸化炭素が発生します[cite: 812-815]。
6,気体の発生において、濃硫酸が「不揮発性の酸」として利用される反応はどれか？,Zn + H₂SO₄,NaCl + H₂SO₄,Cu + H₂SO₄,HCOOH + H₂SO₄,B,NaClからHClを発生させる反応では、濃硫酸の不揮発性が利用されます[cite: 752-755]。
6,気体の発生において、濃硫酸が「脱水剤」として利用される反応はどれか？,NaCl + H₂SO₄,Zn + H₂SO₄,HCOOH + H₂SO₄,Na₂SO₃ + H₂SO₄,C,ギ酸やシュウ酸、スクロースなどの有機化合物から水を奪う反応では、脱水作用が利用されます[cite: 786-787]。
6,弱酸の遊離反応において、炭酸（H₂CO₃）よりも強い酸はどれか？,塩酸,ケイ酸,ホウ酸,フェノール,A,塩酸、硫酸、硝酸などの強酸は炭酸よりも強いため、炭酸塩から炭酸（CO₂）を遊離させることができます[cite: 740-743]。
7,亜鉛（Zn）に希硫酸を加えたときに発生する気体は？,水素（H₂）,二酸化硫黄（SO₂）,硫化水素（H₂S）,酸素（O₂）,A,イオン化傾向が水素より大きい金属は、希酸と酸化還元反応して水素を発生します[cite: 848-849]。
7,銅（Cu）に熱濃硫酸を加えたときに発生する気体は？,水素,二酸化硫黄,硫化水素,酸素,B,熱濃硫酸は強い酸化力を持ち、銅を酸化して二酸化硫黄を発生します[cite: 877]。
7,銅（Cu）に希硝酸を加えたときに発生する気体は？,一酸化窒素（NO）,二酸化窒素（NO₂）,水素（H₂）,アンモニア（NH₃）,A,希硝酸は酸化剤として働き、一酸化窒素を発生します[cite: 825]。
7,銅（Cu）に濃硝酸を加えたときに発生する気体は？,一酸化窒素（NO）,二酸化窒素（NO₂）,水素（H₂）,窒素（N₂）,B,濃硝酸は強力な酸化剤であり、二酸化窒素を発生します[cite: 851]。
7,濃硝酸に入れても表面に不動態を形成して溶けない金属はどれか？,Zn,Cu,Al,Ag,C,アルミニウム（Al）、鉄（Fe）、ニッケル（Ni）は濃硝酸中で不動態となります[cite: 883]。
7,鉛（Pb）が希塩酸や希硫酸に溶けない理由は？,イオン化傾向が水素より小さいから,表面に不溶性の塩の被膜ができるから,不動態を形成するから,酸化力が強すぎるから,B,表面に水に溶けにくい塩（PbCl₂やPbSO₄）が生じ、内部を保護するため反応が止まります[cite: 878]。
7,次の気体のうち、色が「赤褐色」であるものは？,NO,NO₂,H₂S,Cl₂,B,二酸化窒素（NO₂）は赤褐色の有色気体です[cite: 996]。
7,亜鉛と希硫酸の反応において、還元剤として働いている物質は？,Zn,H₂SO₄,H₂O,H₂,A,亜鉛（Zn）は電子を放出してZn²⁺になるため、還元剤です。
7,銅と濃硝酸の反応において、酸化剤として働いている物質は？,Cu,HNO₃,H₂O,NO₂,B,硝酸（HNO₃）が電子を受け取ってNO₂になるため、酸化剤です。
7,一酸化窒素（NO）の性質として正しいものは？,水によく溶ける,赤褐色である,無色で水に溶けにくい,腐卵臭がある,C,一酸化窒素は無色の気体で、水には溶けにくい性質があります（酸素に触れるとすぐにNO₂になる）。
8,過酸化水素水（H₂O₂）に触媒として酸化マンガン(IV)を加えると発生する気体は？,水素,酸素,オゾン,塩素,B,過酸化水素の分解反応により酸素が発生します[cite: 906]。
8,塩素酸カリウム（KClO₃）に触媒として酸化マンガン(IV)を加えて加熱すると発生する気体は？,塩素,酸素,水素,塩化水素,B,塩素酸カリウムの熱分解により酸素が発生します[cite: 913]。
8,亜硝酸アンモニウム（NH₄NO₂）水溶液を加熱すると発生する気体は？,アンモニア,窒素,一酸化窒素,酸素,B,"自己酸化還元反応（熱分解）により窒素（N₂）が発生します[cite: 909, 923]。"
8,酸化マンガン(IV)に濃塩酸を加えて加熱すると発生する気体は？,塩素,水素,酸素,塩化水素,A,酸化マンガン(IV)が酸化剤として働き、塩化物イオンを酸化して塩素（Cl₂）が発生します[cite: 928-930]。
8,過酸化水素の分解反応において、酸化マンガン(IV)の役割は？,酸化剤,還元剤,触媒,脱水剤,C,酸化マンガン(IV)は反応の前後で変化しない触媒として働きます。
8,酸化マンガン(IV)と濃塩酸の反応において、酸化マンガン(IV)の役割は？,酸化剤,還元剤,触媒,乾燥剤,A,この反応ではMnO₂はマンガンイオン（Mn²⁺）に変化するため、酸化剤として働きます[cite: 929]。
8,塩素（Cl₂）の気体の色は？,無色,赤褐色,黄緑色,青色,C,"塩素は黄緑色の有毒な気体です[cite: 995, 1209]。"
8,実験室で塩素を発生させる際、混入する塩化水素（HCl）を取り除くために通す液体は？,濃硫酸,水,水酸化ナトリウム水溶液,エタノール,B,塩化水素は水によく溶けるため、水（洗気びんA）に通して除去します（塩素も少し溶けるがHClの方が遥かに溶けやすい）[cite: 1078]。
8,実験室で塩素を発生させる際、混入する水蒸気を取り除くために通す液体は？,濃硫酸,水,希硫酸,アンモニア水,A,濃硫酸（洗気びんB）の吸湿性を利用して乾燥させます[cite: 1086]。
8,塩素の捕集方法として適切なものは？,水上置換法,上方置換法,下方置換法,蒸留,C,塩素は空気より重く水に溶けるため、下方置換法で捕集します[cite: 1087]。
9,アンモニア（NH₃）の捕集方法は？,水上置換法,上方置換法,下方置換法,どれでもよい,B,アンモニアは空気より軽く水に非常によく溶けるため、上方置換法を用います[cite: 1018-1022]。
9,塩化水素（HCl）の捕集方法は？,水上置換法,上方置換法,下方置換法,どれでもよい,C,塩化水素は空気より重く水によく溶けるため、下方置換法を用います[cite: 1013]。
9,一酸化窒素（NO）の捕集方法は？,水上置換法,上方置換法,下方置換法,どれでもよい,A,一酸化窒素は水に溶けにくいため、水上置換法で捕集します[cite: 1052]。
9,水素（H₂）の捕集方法は？,水上置換法,上方置換法,下方置換法,どれでもよい,A,水素は水に溶けにくいため、純度高く集められる水上置換法が適しています（非常に軽いので上方置換も可ですが、実験室では水上が一般的）[cite: 1003]。
9,二酸化炭素（CO₂）の捕集方法は？,水上置換法,上方置換法,下方置換法,どれでもよい,C,二酸化炭素は空気より重く水に少し溶けるため、下方置換法が適しています（水上置換も可能ですが、このテキストの分類では下方置換とされます）[cite: 1041-1042]。
9,空気の平均分子量はおよそいくつか？,18,29,32,44,B,空気（窒素と酸素が約4:1）の平均分子量は約28.8（約29）です。これより軽いか重いかで置換法を判断します[cite: 1016]。
9,腐卵臭を持つ気体はどれか？,H₂S,Cl₂,NH₃,SO₂,A,硫化水素（H₂S）は特有の腐卵臭を持ちます[cite: 1068]。
9,刺激臭を持つ「赤褐色」の気体はどれか？,NO,NO₂,Cl₂,Br₂,B,"二酸化窒素（NO₂）は赤褐色の刺激臭がある気体です[cite: 996, 1055]。"
9,次の気体のうち、水溶液が塩基性を示すものは？,HCl,CO₂,NH₃,NO₂,C,アンモニア（NH₃）は水に溶けて弱塩基性を示します[cite: 1037]。
9,水に溶けにくい「中性」の気体はどれか？,NH₃,HCl,NO,CO₂,C,"一酸化窒素（NO）、一酸化炭素（CO）、水素（H₂）、窒素（N₂）などは水に溶けにくい中性気体です[cite: 1052, 1026]。"
10,次の気体発生反応のうち、加熱が必要なものは？,石灰石 + 塩酸（CO₂）,亜鉛 + 希硫酸（H₂）,塩化アンモニウム + 水酸化カルシウム（NH₃）,過酸化水素 + 酸化マンガン(IV)（O₂）,C,固体の塩基と酸の塩の反応（アンモニア発生）は加熱が必要です[cite: 999]。
10,次の気体発生反応のうち、加熱が不要なものは？,塩化ナトリウム + 濃硫酸（HCl）,亜鉛 + 希硫酸（H₂）,亜硝酸アンモニウム水溶液（N₂）,酸化マンガン(IV) + 濃塩酸（Cl₂）,B,イオン化傾向を利用した金属と酸の反応は、常温で進行します（加熱不要）[cite: 1015]。
10,塩化ナトリウムに濃硫酸を加えて塩化水素を発生させる際、加熱が必要な理由は？,反応速度を上げるため,塩化水素が揮発しやすくするため,濃硫酸の酸化力を高めるため,触媒として働くため,B,吸熱反応の進行と、揮発性の酸（HCl）を追い出すために加熱が必要です[cite: 1010]。
10,酸化マンガン(IV)と濃塩酸から塩素を発生させる反応は、加熱が必要か？,必要,不要,冷却が必要,加圧が必要,A,この反応は加熱して進行させます[cite: 1039]。
10,亜硝酸アンモニウム水溶液から窒素を発生させる反応は、加熱が必要か？,必要,不要,冷却が必要,光が必要,A,熱分解反応であり、加熱が必要です（約70℃程度）[cite: 1027]。
10,濃硫酸を用いる反応で、加熱が必要なのはどれ？,脱水作用（ギ酸）,酸化作用（銅）,揮発性酸遊離（食塩）,すべて,D,"濃硫酸を用いたこれらの反応（脱水、熱濃硫酸の酸化、揮発酸遊離）は、いずれも加熱条件で行われます[cite: 1005-1010, 1457]。"
10,加熱が必要な気体発生装置において、試験管の口を少し下げる理由は？,気体を軽くするため,発生した水滴が加熱部に逆流して割れるのを防ぐため,試薬を混ぜやすくするため,圧力を下げるため,B,反応によって生じた水が加熱部分に戻って試験管が破損するのを防ぐためです（一般的な実験上の注意）。
10,アンモニアの発生実験（NH₄Cl + Ca(OH)₂）で、試験管の口の向きはどうするか？,上に向ける,水平にする,少し下に向ける,真下に向ける,C,水が発生するため、加熱部への逆流を防ぐために口を少し下げます。
10,銅と希硝酸の反応（NO発生）は、通常加熱するか？,強く加熱する,穏やかに加熱する,加熱しない（または反応開始時のみ）,冷却する,C,銅と硝酸の反応は激しいため、通常は加熱しません（反応熱で進行します）。「加熱が必要な反応」リストには含まれていません。
10,次のうち、「熱分解反応」に分類される気体発生法は？,Zn + H₂SO₄,CaCO₃ + HCl,NH₄NO₂ → N₂,NaCl + H₂SO₄,C,1つの物質が分解して別の物質になる反応（NH₄NO₂ → N₂ + 2H₂O）は熱分解反応です[cite: 1027]。
